Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()					Time	Cum Time	Inlet	Outlet
0.660999836	10.20251846	10.20251846	116353.8906	8.079999924	0.663999975	0.500526316	0.805894737					57110.38582	0	0.663999975	8.079999924
0.661057707	10.20240784	10.20240784	116361.2422	7.960000038	1.116999984	0.500526316	0.805894737					57115.38584	5.00001984	1.116999984	7.960000038
0.661115571	10.20256996	10.20256996	116355.9453	7.630000114	1.373000026	0.500526316	0.805894737					57120.38533	9.999504	1.373000026	7.630000114
0.661173448	10.20250225	10.20250225	116357.9609	7.010000229	1.555999994	0.500526316	0.805894737					57125.38594	15.00012	1.555999994	7.010000229
0.661231321	10.20246887	10.20246887	116358.3359	7.650000095	1.779000044	0.500526316	0.805894737					57130.38617	20.0003472	1.779000044	7.650000095
0.661289177	10.20242214	10.20242214	116359.6406	7.21999979	1.952000022	0.500526316	0.805894737					57135.38492	24.99909696	1.952000022	7.21999979
0.661347069	10.20250416	10.20250416	116345.1094	7.940000057	2.148999929	0.500526316	0.805894737					57140.38675	30.0009312	2.148999929	7.940000057
0.661404927	10.20241261	10.20241261	116351.4453	7.059999943	2.372999907	0.500526316	0.805894737					57145.38567	34.99984512	2.372999907	7.059999943
0.661462793	10.20248795	10.20248795	116342.4453	7.059999943	2.904000044	0.500526316	0.805894737					57150.38528	39.99945888	2.904000044	7.059999943
0.661520674	10.2025013	10.2025013	116338.3516	7.349999905	2.93599987	0.500526316	0.805894737					57155.38621	45.00038592	2.93599987	7.349999905
0.661578556	10.2025919	10.2025919	116333.5313	7.159999847	3.023999929	0.500526316	0.805894737					57160.38724	50.00141664	3.023999929	7.159999847
0.66163641	10.20250797	10.20250797	116331.7422	6.440000057	3.112999916	0.500526316	0.805894737					57165.38583	55.00001088	3.112999916	6.440000057
0.661694301	10.20252419	10.20252419	116334.3516	6.050000191	3.227999926	0.500526316	0.805894737					57170.38764	60.0018192	3.227999926	6.050000191
0.661752107	10.20234966	10.20234966	116328.1406	6.369999886	3.224999905	0.500526316	0.805894737					57175.38201	64.99618848	3.224999905	6.369999886
0.661809977	10.20234966	10.20234966	116332.4141	6.880000114	3.230999947	0.500526316	0.805894737					57180.382	69.99617376	3.230999947	6.880000114
0.661867841	10.20248795	10.20248795	116313.9531	6.460000038	3.326999903	0.500526316	0.805894737					57185.38147	74.99564928	3.326999903	6.460000038
0.661925715	10.20260048	10.20260048	116302.9297	6.739999771	3.338999987	0.500526316	0.805894737					57190.38174	79.99591968	3.338999987	6.739999771
0.661983636	10.20258045	10.20258045	116300.6875	6.670000076	3.322999954	0.500526316	0.805894737					57195.38612	85.00029408	3.322999954	6.670000076
0.662041499	10.20241737	10.20241737	116308.625	7.150000095	3.306999922	0.500526316	0.805894737					57200.38547	89.99964864	3.306999922	7.150000095
0.662099368	10.20261669	10.20261669	116289.0156	6.25	3.302000046	0.500526316	0.805894737					57205.38539	94.9995648	3.302000046	6.25
0.662157234	10.20259762	10.20259762	116284.3906	5.670000076	3.297999859	0.500526316	0.805894737					57210.38502	99.99919584	3.297999859	5.670000076
0.662215118	10.20239449	10.20239449	116291.5078	5.159999847	3.292000055	0.500526316	0.805894737					57215.3862	105.0003821	3.292000055	5.159999847
0.662272976	10.20248222	10.20248222	116292.0547	4.849999905	3.25699997	0.500526316	0.805894737					57220.38509	109.9992701	3.25699997	4.849999905
0.662330864	10.20250797	10.20250797	116286.75	5.159999847	3.285000086	0.500526316	0.805894737					57225.38661	115.0007846	3.285000086	5.159999847
0.662388737	10.20248032	10.20248032	116277.9688	4.929999828	3.319999933	0.500526316	0.805894737					57230.38689	120.0010723	3.319999933	4.929999828
