Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()						Time	Cum Time	Inlet	Outlet
0.609493384	10.20259857	10.20259857	116390.3359	0.829999983	0	0.500526316	0.805894737						52660.22839	0	0	0.829999983
0.609551246	10.20261192	10.20261192	116386.5547	0.839999974	0	0.500526316	0.805894737						52665.22765	4.99925088	0	0.839999974
0.609609122	10.20256329	10.20256329	116374.4766	2.349999905	0	0.500526316	0.805894737						52670.22811	9.99972	0	2.349999905
0.609667003	10.20258427	10.20258427	116388.0859	2.789999962	0	0.500526316	0.805894737						52675.22907	15.00067296	0	2.789999962
0.609724857	10.20271873	10.20271873	116391.5	2.319999933	0	0.500526316	0.805894737						52680.22767	19.99927584	0	2.319999933
0.60978274	10.2026844	10.2026844	116384.9766	2.059999943	0	0.500526316	0.805894737						52685.22877	25.00037568	0	2.059999943
0.609840623	10.20267582	10.20267582	116373.5938	1.99000001	0	0.500526316	0.805894737						52690.22979	30.00139776	0	1.99000001
0.609898473	10.2025156	10.2025156	116372.4219	3.359999895	0	0.500526316	0.805894737						52695.22805	34.99965504	0	3.359999895
0.609956358	10.2025156	10.2025156	116370.5938	3.349999905	0	0.500526316	0.805894737						52700.22931	40.00091904	0	3.349999905
0.610014236	10.20250225	10.20250225	116367.2969	3.970000029	0	0.500526316	0.805894737						52705.22998	45.00158688	0	3.970000029
0.610072102	10.20264053	10.20264053	116372.7109	3.730000019	0	0.500526316	0.805894737						52710.22958	50.00118336	0	3.730000019
0.610129981	10.20258617	10.20258617	116371.2734	3.569999933	0.425000012	0.500526316	0.805894737						52715.23038	55.00198944	0.425000012	3.569999933
0.610187835	10.20252991	10.20252991	116376.2969	3.829999924	1.121000052	0.500526316	0.805894737						52720.22891	60.00051456	1.121000052	3.829999924
0.610245722	10.2026577	10.2026577	116386.6563	4.25	1.725000024	0.500526316	0.805894737						52725.23035	65.00196	1.725000024	4.25
0.610303582	10.20259666	10.20259666	116369.7734	4.010000229	2.036999941	0.500526316	0.805894737						52730.22947	70.00107264	2.036999941	4.010000229
0.610361463	10.20253372	10.20253372	116363.3984	3.630000114	2.180999994	0.500526316	0.805894737						52735.23036	75.00196512	2.180999994	3.630000114
0.610419343	10.20251656	10.20251656	116369.4922	3.139999867	2.361999989	0.500526316	0.805894737						52740.23124	80.00284032	2.361999989	3.139999867
0.610477209	10.2026329	10.2026329	116368.1172	3.079999924	2.500999928	0.500526316	0.805894737						52745.23087	85.00248	2.500999928	3.079999924
0.610535079	10.20247555	10.20247555	116360.1875	3.029999971	2.684999943	0.500526316	0.805894737						52750.23083	90.00243072	2.684999943	3.029999971
0.610593005	10.20253277	10.20253277	116360.4531	2.720000029	2.898000002	0.500526316	0.805894737						52755.23559	95.00719392	2.898000002	2.720000029
0.610650866	10.20260811	10.20260811	116364.4453	2.839999914	3.128999949	0.500526316	0.805894737						52760.23482	100.0064275	3.128999949	2.839999914
0.610708726	10.20267868	10.20267868	116345.5078	2.710000038	3.330999851	0.500526316	0.805894737						52765.23392	105.0055229	3.330999851	2.710000038
0.610766544	10.20258045	10.20258045	116363.3828	2.440000057	3.509000063	0.500526316	0.805894737						52770.22941	110.0010154	3.509000063	2.440000057
0.610824497	10.20260143	10.20260143	116351.6172	3.210000038	3.657000065	0.500526316	0.805894737						52775.23656	115.0081632	3.657000065	3.210000038
0.610882315	10.20249748	10.20249748	116332.8047	3.650000095	3.789999962	0.500526316	0.805894737						52780.23197	120.0035779	3.789999962	3.650000095
0.610940194	10.20250416	10.20250416	116341.8828	3.160000086	3.843999863	0.500526316	0.805894737						52785.23272	125.0043235	3.843999863	3.160000086
0.610998065	10.20249653	10.20249653	116341.3594	2.819999933	3.904000044	0.500526316	0.805894737						52790.23279	130.0043952	3.904000044	2.819999933
0.611055927	10.20259762	10.20259762	116352.0703	2.809999943	3.957999945	0.500526316	0.805894737						52795.23207	135.003672	3.957999945	2.809999943
0.611113801	10.20250702	10.20250702	116349.1719	2.700000048	4.010000229	0.500526316	0.805894737						52800.23242	140.0040288	4.010000229	2.700000048
0.611171687	10.20266438	10.20266438	116345.6484	2.539999962	4.051000118	0.500526316	0.805894737						52805.23376	145.0053619	4.051000118	2.539999962
0.611229621	10.20264816	10.20264816	116336.1719	2.619999886	4.05700016	0.500526316	0.805894737						52810.23925	150.0108595	4.05700016	2.619999886
0.611287495	10.20262909	10.20262909	116344.7266	2.289999962	4.072999954	0.500526316	0.805894737						52815.23952	155.0111299	4.072999954	2.289999962
0.611345363	10.20242214	10.20242214	116331.7031	2.460000038	4.126999855	0.500526316	0.805894737						52820.23935	160.0109597	4.126999855	2.460000038
0.611403252	10.2025013	10.2025013	116324.1797	2.680000067	4.125	0.500526316	0.805894737						52825.24096	165.0125693	4.125	2.680000067
0.611461006	10.20261288	10.20261288	116328.9609	2.529999971	4.119999886	0.500526316	0.805894737						52830.23094	170.0025408	4.119999886	2.529999971
0.611518987	10.2025156	10.2025156	116320.5156	2.460000038	4.121999741	0.500526316	0.805894737						52835.24046	175.0120646	4.121999741	2.460000038
0.611576866	10.20250511	10.20250511	116331.7969	2.769999981	4.147999764	0.500526316	0.805894737						52840.24121	180.0128102	4.147999764	2.769999981
0.611634636	10.20254707	10.20254707	116305.7188	2.480000019	4.153999806	0.500526316	0.805894737						52845.23258	185.0041901	4.153999806	2.480000019
0.611692559	10.20266342	10.20266342	116312.0625	2.519999981	4.177000046	0.500526316	0.805894737						52850.23709	190.0086941	4.177000046	2.519999981
0.611750429	10.20264053	10.20264053	116313.2969	2.829999924	4.175000191	0.500526316	0.805894737						52855.23706	195.0086621	4.175000191	2.829999924
0.611808249	10.20252037	10.20252037	116308.4375	2.799999952	4.164000034	0.500526316	0.805894737						52860.23273	200.004336	4.164000034	2.799999952
0.611866129	10.20252991	10.20252991	116295.9375	2.869999886	4.183000088	0.500526316	0.805894737						52865.23352	205.0051248	4.183000088	2.869999886
0.611923995	10.20245361	10.20245361	116314.9219	2.859999895	4.215000153	0.500526316	0.805894737						52870.23317	210.0047731	4.215000153	2.859999895
0.611981862	10.20260143	10.20260143	116300.125	2.880000114	4.297999859	0.500526316	0.805894737						52875.23291	215.0045165	4.297999859	2.880000114
0.612039759	10.20261669	10.20261669	116295.0234	2.619999886	4.263000011	0.500526316	0.805894737						52880.23519	220.0068	4.263000011	2.619999886
0.612097653	10.20252991	10.20252991	116293.9844	2.880000114	4.270999908	0.500526316	0.805894737						52885.23719	225.0087984	4.270999908	2.880000114
0.612155515	10.20266628	10.20266628	116293.4375	2.690000057	4.302999973	0.500526316	0.805894737						52890.23646	230.0080666	4.302999973	2.690000057
0.612213392	10.20254517	10.20254517	116285.1719	2.880000114	4.269000053	0.500526316	0.805894737						52895.23707	235.0086739	4.269000053	2.880000114
0.612271255	10.20259285	10.20259285	116280.5156	2.930000067	4.255000114	0.500526316	0.805894737						52900.23645	240.0080544	4.255000114	2.930000067
0.612329123	10.20241928	10.20241928	116277.6953	2.619999886	4.243000031	0.500526316	0.805894737						52905.23618	245.0077891	4.243000031	2.619999886
0.612386997	10.20257282	10.20257282	116276.7188	2.789999962	4.263000011	0.500526316	0.805894737						52910.2365	250.0081027	4.263000011	2.789999962
0.612444882	10.20258045	10.20258045	116284.8359	2.849999905	4.249000073	0.500526316	0.805894737						52915.23781	255.0094186	4.249000073	2.849999905
0.612502828	10.20255661	10.20255661	116265.3281	2.839999914	4.250999928	0.500526316	0.805894737						52920.24435	260.015953	4.250999928	2.839999914
0.612560702	10.20247746	10.20247746	116265.9922	3.119999886	4.25699997	0.500526316	0.805894737						52925.24467	265.0162752	4.25699997	3.119999886
0.612618488	10.20268345	10.20268345	116259.3203	2.960000038	4.257999897	0.500526316	0.805894737						52930.23735	270.0089597	4.257999897	2.960000038
