Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()
0.592463352	10.20250893	10.20250893	113826.5469	1.700000048	0	0.500526316	0.805894737
0.59252122	10.2026577	10.2026577	113825.0625	1.669999957	0	0.500526316	0.805894737
0.592579095	10.20248508	10.20248508	113802.6484	1.639999986	0	0.500526316	0.805894737
0.592636978	10.20244026	10.20244026	113780.5469	1.629999995	0	0.500526316	0.805894737
0.592694838	10.20231819	10.20231819	113769.1953	1.639999986	0	0.500526316	0.805894737
0.592752714	10.2023983	10.2023983	113802.7109	1.659999967	0	0.500526316	0.805894737
0.592810574	10.20253658	10.20253658	113779.5234	1.629999995	0	0.500526316	0.805894737
0.592868459	10.20248413	10.20248413	113781.625	1.639999986	0	0.500526316	0.805894737
0.592926314	10.20251083	10.20251083	113791.9219	1.610000014	0	0.500526316	0.805894737
0.592984186	10.20254517	10.20254517	113757.7578	1.590000033	0	0.500526316	0.805894737
0.593042062	10.20249462	10.20249462	113773.6563	1.610000014	0	0.500526316	0.805894737
0.593099933	10.20241165	10.20241165	113777.6484	1.809999943	0	0.500526316	0.805894737
0.593157795	10.20231724	10.20231724	113758.6875	2.259999991	0	0.500526316	0.805894737
start							
0.593215674	10.20245647	10.20245647	113764.4063	3.680000067	0	0.500526316	0.805894737
0.593273527	10.20255756	10.20255756	113734.2578	3.410000086	0	0.500526316	0.805894737
0.593331402	10.20244789	10.20244789	113721.8125	2.809999943	0	0.500526316	0.805894737
0.593389282	10.20238495	10.20238495	113736.9219	2.299999952	0	0.500526316	0.805894737
0.593447137	10.20247936	10.20247936	113712.3828	1.960000038	0.851000011	0.500526316	0.805894737
0.593505005	10.20261574	10.20261574	113719.2031	1.879999995	5.151000023	0.500526316	0.805894737
0.593562881	10.2024622	10.2024622	113698.2266	1.779999971	9.585000038	0.500526316	0.805894737
0.59362077	10.20239449	10.20239449	113694.4219	1.960000038	22.95599937	0.500526316	0.805894737
0.593678627	10.20239353	10.20239353	113691.1328	2.009999991	21.95400047	0.500526316	0.805894737
0.593736486	10.2024641	10.2024641	113674.4375	2.039999962	20.29100037	0.500526316	0.805894737
0.593794366	10.20243168	10.20243168	113686.3359	2.119999886	18.46899986	0.500526316	0.805894737
0.593852223	10.2024498	10.2024498	113646.7891	2.420000076	16.6609993	0.500526316	0.805894737
0.593910097	10.20247746	10.20247746	113651.5391	2.400000095	15.00899982	0.500526316	0.805894737
0.593967968	10.20256138	10.20256138	113665.3594	2.400000095	13.52499962	0.500526316	0.805894737
0.594025852	10.20247746	10.20247746	113638.0391	2.460000038	12.20800018	0.500526316	0.805894737
0.594083704	10.2022934	10.2022934	113634.1328	3.119999886	11.06299973	0.500526316	0.805894737
0.594141593	10.20248508	10.20248508	113636.0313	3.170000076	10.23799992	0.500526316	0.805894737
0.594199458	10.2024231	10.2024231	113613.0625	3.200000048	8.555000305	0.500526316	0.805894737
0.594257328	10.20238686	10.20238686	113634.5313	3.339999914	8.312999725	0.500526316	0.805894737
0.59431519	10.2024622	10.2024622	113618.2109	3.220000029	7.894999981	0.500526316	0.805894737
0.594373072	10.20232964	10.20232964	113620.9219	3.009999991	7.402999878	0.500526316	0.805894737
0.594430946	10.20266819	10.20266819	113623.2266	2.74000001	6.916999817	0.500526316	0.805894737
0.594488797	10.2024374	10.2024374	113599.0313	2.480000019	6.473999977	0.500526316	0.805894737
0.594546678	10.20230675	10.20230675	113604.1953	2.180000067	6.103000164	0.500526316	0.805894737
0.594604543	10.20240116	10.20240116	113565.1719	1.909999967	5.81799984	0.500526316	0.805894737
0.59466242	10.20240974	10.20240974	113576.0234	1.590000033	5.55700016	0.500526316	0.805894737
0.5947203	10.20240307	10.20240307	113569.6563	1.49000001	5.361999989	0.500526316	0.805894737
0.594778187	10.20231438	10.20231438	113564.9219	1.389999986	5.176000118	0.500526316	0.805894737
0.594836083	10.20249081	10.20249081	113564.7656	1.379999995	5.065999985	0.500526316	0.805894737
0.594893954	10.20252705	10.20252705	113556.7891	1.309999943	4.93599987	0.500526316	0.805894737
0.59495176	10.20249844	10.20249844	113536.2031	1.149999976	4.847000122	0.500526316	0.805894737
0.595009621	10.20240307	10.20240307	113546.3594	1.100000024	4.790999889	0.500526316	0.805894737
0.595067501	10.20234585	10.20234585	113533.4531	1.100000024	4.718999863	0.500526316	0.805894737
0.595125358	10.20248699	10.20248699	113541.2969	1.120000005	4.677999973	0.500526316	0.805894737
0.595183266	10.20248222	10.20248222	113534.2578	1.029999971	4.613999844	0.500526316	0.805894737
0.595241127	10.20244598	10.20244598	113525.2578	0.980000019	4.585000038	0.500526316	0.805894737
0.595299003	10.20237637	10.20237637	113527.5391	0.920000017	4.592000008	0.500526316	0.805894737
0.595356865	10.20252228	10.20252228	113501.7969	0.939999998	4.566999912	0.500526316	0.805894737
0.59541473	10.20246124	10.20246124	113524.5313	0.959999979	4.506000042	0.500526316	0.805894737
0.59547261	10.20247364	10.20247364	113501.4922	1.110000014	4.485000134	0.500526316	0.805894737
0.595530479	10.20234394	10.20234394	113497.6016	1.110000014	4.43599987	0.500526316	0.805894737
0.595588388	10.20246124	10.20246124	113490.8125	1.090000033	4.422999859	0.500526316	0.805894737
0.595646257	10.20245075	10.20245075	113491.5078	1.049999952	4.380000114	0.500526316	0.805894737
0.595704119	10.20241737	10.20241737	113479.6953	1.120000005	4.342999935	0.500526316	0.805894737
0.595761997	10.20243359	10.20243359	113487.8906	1.100000024	4.311999798	0.500526316	0.805894737
0.595819876	10.20256138	10.20256138	113478.0156	1.090000033	4.296000004	0.500526316	0.805894737
0.595877668	10.20253086	10.20253086	113472.7188	1.129999995	4.315999985	0.500526316	0.805894737
