Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()
0.582797492	10.20249653	10.20249653	112600.625	2.660000086	0.741999984	0.500526316	0.805894737
0.58285537	10.20257759	10.20257759	112613.8906	2.670000076	0.702000022	0.500526316	0.805894737
0.582913235	10.20245457	10.20245457	112631.7734	2.670000076	0.666999996	0.500526316	0.805894737
0.582971115	10.20252323	10.20252323	112666.0469	2.700000048	0.635999978	0.500526316	0.805894737
0.583028963	10.20255756	10.20255756	112670.2266	2.680000067	0.623000026	0.500526316	0.805894737
0.583086861	10.202672	10.202672	112681.2578	2.670000076	0.634000003	0.500526316	0.805894737
0.583144713	10.20259285	10.20259285	112703.6094	2.680000067	0.638999999	0.500526316	0.805894737
2 pm start							
0.583202585	10.2025404	10.2025404	112698.3672	2.680000067	0.671000004	0.500526316	0.805894737
0.583260465	10.20246696	10.20246696	112721.6641	2.759999991	0.855000019	0.500526316	0.805894737
0.583318315	10.20253658	10.20253658	112735.2891	3.410000086	0.847000003	0.500526316	0.805894737
0.5833762	10.20247078	10.20247078	112753.1484	3.819999933	0.671000004	0.500526316	0.805894737
0.583434071	10.20237827	10.20237827	112772.0078	3.220000029	0.568000019	0.500526316	0.805894737
0.583491931	10.20243359	10.20243359	112790.4375	2.599999905	0.545000017	0.500526316	0.805894737
0.583549805	10.20260143	10.20260143	112796.3672	1.980000019	0.598999977	0.500526316	0.805894737
0.583607625	10.20250225	10.20250225	112792.4063	1.970000029	0.763000011	0.500526316	0.805894737
0.583665568	10.20249844	10.20249844	112824.6484	1.429999948	0.912999988	0.500526316	0.805894737
0.583723353	10.20234871	10.20234871	112836.7891	1.080000043	1.013000011	0.500526316	0.805894737
0.583781298	10.20250511	10.20250511	112857.7891	0.860000014	1.077000022	0.500526316	0.805894737
0.583839171	10.20258427	10.20258427	112858.0703	0.699999988	1.279999971	0.500526316	0.805894737
0.58389699	10.20247269	10.20247269	112878.7109	0.600000024	1.947000027	0.500526316	0.805894737
0.58395485	10.20245457	10.20245457	112891.7188	0.529999971	2.90899992	0.500526316	0.805894737
0.584012717	10.20244503	10.20244503	112920.5703	0.460000008	3.868999958	0.500526316	0.805894737
0.58407059	10.20269871	10.20269871	112941.5	0.419999987	4.870999813	0.500526316	0.805894737
0.584128462	10.20251751	10.20251751	112934.5469	0.400000006	5.850999832	0.500526316	0.805894737
0.584186379	10.20236969	10.20236969	112941.6641	0.400000006	6.477000237	0.500526316	0.805894737
0.584244288	10.202528	10.202528	112966.8359	0.379999995	6.735000134	0.500526316	0.805894737
0.58430206	10.20256329	10.20256329	112992.5938	0.379999995	6.894999981	0.500526316	0.805894737
0.584359938	10.20255756	10.20255756	112982.4219	0.379999995	6.900000095	0.500526316	0.805894737
0.584417815	10.20247555	10.20247555	113005.9219	0.400000006	6.928999901	0.500526316	0.805894737
0.584475687	10.20255375	10.20255375	113022.6328	0.419999987	6.941999912	0.500526316	0.805894737
0.584533549	10.20263577	10.20263577	113032	0.439999998	6.961999893	0.500526316	0.805894737
0.584591524	10.20258617	10.20258617	113038.5938	0.449999988	6.956999779	0.500526316	0.805894737
0.584649362	10.20247555	10.20247555	113046.6797	0.759999991	6.941999912	0.500526316	0.805894737
0.584707243	10.20245266	10.20245266	113071.9141	0.620000005	6.956999779	0.500526316	0.805894737
0.584765035	10.20248604	10.20248604	113092.7266	0.529999971	6.975999832	0.500526316	0.805894737
0.584823024	10.20257282	10.20257282	113122.4063	0.469999999	7.005000114	0.500526316	0.805894737
0.584880864	10.20245743	10.20245743	113114.1875	0.430000007	7.073999882	0.500526316	0.805894737
0.584938729	10.20244408	10.20244408	113120.7578	0.400000006	7.106999874	0.500526316	0.805894737
0.584996631	10.20262241	10.20262241	113139.2969	0.389999986	7.150000095	0.500526316	0.805894737
0.585054406	10.20260239	10.20260239	113144.9219	0.370000005	7.169000149	0.500526316	0.805894737
0.585112283	10.2024889	10.2024889	113180.1719	0.360000014	7.146999836	0.500526316	0.805894737
0.585170167	10.20238686	10.20238686	113200.3594	0.360000014	7.15899992	0.500526316	0.805894737
0.585228063	10.20248222	10.20248222	113209.8125	0.360000014	7.156000137	0.500526316	0.805894737
0.585285961	10.20254421	10.20254421	113216.6875	0.360000014	7.186999798	0.500526316	0.805894737
0.585343837	10.20252895	10.20252895	113228.5781	0.349999994	7.105999947	0.500526316	0.805894737
0.585401704	10.20259476	10.20259476	113234.9453	1.049999952	7.168000221	0.500526316	0.805894737
0.585459544	10.20257473	10.20257473	113248.3672	0.800000012	7.126999855	0.500526316	0.805894737
0.585517426	10.20266628	10.20266628	113262.75	0.610000014	7.106999874	0.500526316	0.805894737
0.585575344	10.20257568	10.20257568	113279.8125	0.49000001	7.125999928	0.500526316	0.805894737
0.585633169	10.20250511	10.20250511	113298.7188	0.430000007	7.195000172	0.500526316	0.805894737
0.585691062	10.20255375	10.20255375	113328.2891	0.389999986	7.25699997	0.500526316	0.805894737
0.585748872	10.20244884	10.20244884	113332.2109	0.360000014	7.236999989	0.500526316	0.805894737
0.585806725	10.20242691	10.20242691	113349.5391	0.349999994	7.198999882	0.500526316	0.805894737
0.585864676	10.2025032	10.2025032	113381.6406	0.340000004	7.150000095	0.500526316	0.805894737
0.585922528	10.20254135	10.20254135	113402.1719	0.329999983	7.149000168	0.500526316	0.805894737
0.585980406	10.20257473	10.20257473	113431.4063	0.319999993	7.186999798	0.500526316	0.805894737
0.586038277	10.20254612	10.20254612	113464.8672	0.319999993	7.21600008	0.500526316	0.805894737
0.586096161	10.20245934	10.20245934	113474.3594	0.400000006	7.18200016	0.500526316	0.805894737
0.586154045	10.20244789	10.20244789	113493.6563	0.370000005	7.22300005	0.500526316	0.805894737
0.586211911	10.20250416	10.20250416	113513.7344	0.370000005	7.245999813	0.500526316	0.805894737
0.586269804	10.20251942	10.20251942	113541.9375	0.349999994	7.260000229	0.500526316	0.805894737
0.586327684	10.20244694	10.20244694	113553.0391	0.329999983	7.256000042	0.500526316	0.805894737
0.586385533	10.20246124	10.20246124	113564.2813	0.329999983	7.243999958	0.500526316	0.805894737
0.586443417	10.20257282	10.20257282	113591.7188	0.319999993	7.220999718	0.500526316	0.805894737
0.58650129	10.20261192	10.20261192	113623.7891	0.310000002	7.180999756	0.500526316	0.805894737
0.586559153	10.20242977	10.20242977	113636.0156	0.300000012	7.184999943	0.500526316	0.805894737
0.586617018	10.20241451	10.20241451	113662.8594	0.310000002	7.136000156	0.500526316	0.805894737
0.586674899	10.20249367	10.20249367	113677.8438	0.379999995	7.140999794	0.500526316	0.805894737
