Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()					Time	Cum Time	Inlet	Outlet
0.589557676	10.20255089	10.20255089	114923.7422	1.319999933	0	0.500526316	0.805894737								
0.58961554	10.20248413	10.20248413	114920.4531	1.919999957	0	0.500526316	0.805894737								
0.589673415	10.20251846	10.20251846	114933.7344	2.359999895	0	0.500526316	0.805894737								
2:09 start															
0.589731285	10.2025547	10.2025547	114956.0391	2.24000001	0	0.500526316	0.805894737					50952.78301	0	0	2.24000001
0.589789143	10.20255089	10.20255089	114950.2422	1.799999952	0	0.500526316	0.805894737					50957.78198	4.9989744	0	1.799999952
0.589847023	10.20252705	10.20252705	114955.7656	1.549999952	0	0.500526316	0.805894737					50962.78274	9.99973728	0	1.549999952
0.589904901	10.20254135	10.20254135	114977.625	1.289999962	0	0.500526316	0.805894737					50967.78346	15.00044832	0	1.289999962
0.589962758	10.20273399	10.20273399	114982.4609	1.080000043	0	0.500526316	0.805894737					50972.78227	19.9992672	0	1.080000043
0.590020737	10.20257282	10.20257282	114994.3594	0.939999998	0	0.500526316	0.805894737					50977.79169	25.00868736	0	0.939999998
0.590078508	10.20254326	10.20254326	114987.9375	0.769999981	0	0.500526316	0.805894737					50982.78312	30.0001104	0	0.769999981
0.590136375	10.20245838	10.20245838	115010.9922	0.689999998	0	0.500526316	0.805894737					50987.78281	34.99980192	0	0.689999998
0.59019435	10.20256233	10.20256233	115006.75	0.670000017	0	0.500526316	0.805894737					50992.79182	40.008816	0	0.670000017
0.590252114	10.20260048	10.20260048	115028.9219	0.720000029	0	0.500526316	0.805894737					50997.78263	44.9996256	0	0.720000029
0.590309983	10.20253944	10.20253944	115047.6406	0.620000005	0.261999995	0.500526316	0.805894737					51002.78253	49.99952448	0.261999995	0.620000005
0.590367958	10.20252991	10.20252991	115038.0625	0.649999976	0.84799999	0.500526316	0.805894737					51007.79156	55.00855584	0.84799999	0.649999976
0.590425827	10.20245171	10.20245171	115074.4297	0.759999991	1.368999958	0.500526316	0.805894737					51012.79147	60.00846336	1.368999958	0.759999991
0.590483699	10.20269489	10.20269489	115064.7109	2.529999971	1.812000036	0.500526316	0.805894737					51017.79157	65.00856096	1.812000036	2.529999971
got rid of air bubble.															
0.590541565	10.20259094	10.20259094	115088.3438	3.200000048	2.197999954	0.500526316	0.805894737					51022.79119	0	2.197999954	3.200000048
0.590599444	10.20261478	10.20261478	115102.5234	4.429999828	2.50699997	0.500526316	0.805894737					51027.79193	5.00074	2.50699997	4.429999828
0.590657301	10.20256901	10.20256901	115098.6797	3.950000048	2.769000053	0.500526316	0.805894737					51032.79076	9.99957	2.769000053	3.950000048
0.59071518	10.20248413	10.20248413	115113.8047	4.139999867	3.038000107	0.500526316	0.805894737					51037.79153	15.00034	3.038000107	4.139999867
0.59077305	10.2025404	10.2025404	115121.0859	4.980000019	3.220999956	0.500526316	0.805894737					51042.79148	20.00029	3.220999956	4.980000019
0.590830923	10.2026453	10.2026453	115125.2656	5.130000114	3.392999888	0.500526316	0.805894737					51047.79173	25.00054	3.392999888	5.130000114
0.590888795	10.20257759	10.20257759	115132.5938	5.099999905	3.538000107	0.500526316	0.805894737					51052.7919	30.00071	3.538000107	5.099999905
0.590946735	10.20263004	10.20263004	115145.5313	6.690000057	3.661000013	0.500526316	0.805894737					51057.7979	35.00671	3.661000013	6.690000057
0.591004562	10.20267868	10.20267868	115143.4063	5.949999809	3.799999952	0.500526316	0.805894737					51062.79417	40.00298	3.799999952	5.949999809
0.591062398	10.20260525	10.20260525	115143.4063	4.659999847	3.895999908	0.500526316	0.805894737					51067.79118	44.99999	3.895999908	4.659999847
0.591120269	10.20249462	10.20249462	115144.4141	5.099999905	3.994999886	0.500526316	0.805894737					51072.79127	50.00008	3.994999886	5.099999905
0.591178141	10.20243359	10.20243359	115170.7734	6.449999809	4.076000214	0.500526316	0.805894737					51077.79135	55.00016	4.076000214	6.449999809
0.591236008	10.2025547	10.2025547	115183.3125	8.420000076	4.144000053	0.500526316	0.805894737					51082.79113	59.99994	4.144000053	8.420000076
0.591293875	10.20256901	10.20256901	115176.0156	9.010000229	4.201000214	0.500526316	0.805894737					51087.79077	64.99958	4.201000214	9.010000229
0.591351733	10.20258617	10.20258617	115180.3047	8.109999657	4.276000023	0.500526316	0.805894737					51092.78976	69.99857	4.276000023	8.109999657
0.591409548	10.20245934	10.20245934	115191.9766	7.079999924	4.37899971	0.500526316	0.805894737					51097.78498	74.99379	4.37899971	7.079999924
0.591467416	10.20262909	10.20262909	115207.1016	6.46999979	4.441999912	0.500526316	0.805894737					51102.78474	79.99355	4.441999912	6.46999979
0.591525275	10.20260811	10.20260811	115223.7031	5.409999847	4.458000183	0.500526316	0.805894737					51107.78375	84.99256	4.458000183	5.409999847
0.591583142	10.20257854	10.20257854	115221.4609	5.090000153	4.448999882	0.500526316	0.805894737					51112.78348	89.99229	4.448999882	5.090000153
0.591641074	10.20241356	10.20241356	115237.7109	4.650000095	4.468999863	0.500526316	0.805894737					51117.78881	94.99762	4.468999863	4.650000095
0.59169895	10.20250511	10.20250511	115241.5313	4.039999962	4.482999802	0.500526316	0.805894737					51122.78925	99.99806	4.482999802	4.039999962
0.591756762	10.20257473	10.20257473	115254.0938	3.430000067	4.512000084	0.500526316	0.805894737					51127.78426	104.99307	4.512000084	3.430000067
0.591814631	10.20247841	10.20247841	115271.4063	2.900000095	4.554999828	0.500526316	0.805894737					51132.78411	109.99292	4.554999828	2.900000095
0.591872564	10.20250702	10.20250702	115266.5156	2.569999933	4.583000183	0.500526316	0.805894737					51137.7895	114.99831	4.583000183	2.569999933
0.591930453	10.20257664	10.20257664	115274.2266	2.380000114	4.605999947	0.500526316	0.805894737					51142.79113	119.99994	4.605999947	2.380000114
0.591988306	10.20269966	10.20269966	115298.6875	2.420000076	4.668000221	0.500526316	0.805894737					51147.78966	124.99847	4.668000221	2.420000076
0.592046173	10.20266151	10.20266151	115306.5078	2.029999971	4.683000088	0.500526316	0.805894737					51152.78935	129.99816	4.683000088	2.029999971
0.592104031	10.20258427	10.20258427	115295.8281	1.830000043	4.713999748	0.500526316	0.805894737					51157.78827	134.99708	4.713999748	1.830000043
0.592161918	10.20243835	10.20243835	115312.6172	1.580000043	4.677999973	0.500526316	0.805894737					51162.78973	139.99854	4.677999973	1.580000043
0.592219768	10.20264053	10.20264053	115322.6016	1.470000029	4.665999889	0.500526316	0.805894737					51167.78794	144.99675	4.665999889	1.470000029
0.59227764	10.20255566	10.20255566	115309.1094	1.529999971	4.668000221	0.500526316	0.805894737					51172.78807	149.99688	4.668000221	1.529999971
0.592335516	10.20256615	10.20256615	115332.1875	1.5	4.65899992	0.500526316	0.805894737					51177.78855	154.99736	4.65899992	1.5
0.592393391	10.20256615	10.20256615	115326.3594	1.470000029	4.635000229	0.500526316	0.805894737					51182.78899	159.9978	4.635000229	1.470000029
0.592451249	10.20259762	10.20259762	115352.8984	1.450000048	4.63199997	0.500526316	0.805894737					51187.78791	164.99672	4.63199997	1.450000048
0.592509116	10.20266438	10.20266438	115360.3672	1.720000029	4.633999825	0.500526316	0.805894737					51192.78759	169.9964	4.633999825	1.720000029
0.592567001	10.20253658	10.20253658	115362.0469	1.600000024	4.651000023	0.500526316	0.805894737					51197.78891	174.99772	4.651000023	1.600000024
0.59262486	10.20258999	10.20258999	115359.3828	1.610000014	4.65199995	0.500526316	0.805894737					51202.78793	179.99674	4.65199995	1.610000014
0.592682702	10.20250797	10.20250797	115376.9453	1.539999962	4.663000107	0.500526316	0.805894737					51207.78543	184.99424	4.663000107	1.539999962
0.592740577	10.20250893	10.20250893	115378.4922	1.460000038	4.683000088	0.500526316	0.805894737					51212.78581	189.99462	4.683000088	1.460000038
0.592798442	10.20247841	10.20247841	115388.2422	1.569999933	4.696000099	0.500526316	0.805894737					51217.78539	194.9942	4.696000099	1.569999933
0.592856312	10.20252609	10.20252609	115414.6719	1.5	4.728000164	0.500526316	0.805894737					51222.78532	199.99413	4.728000164	1.5
0.592914165	10.20265579	10.20265579	115409.2813	1.590000033	4.757999897	0.500526316	0.805894737					51227.78382	204.99263	4.757999897	1.590000033
0.592972047	10.20250988	10.20250988	115391.2344	1.470000029	4.768000126	0.500526316	0.805894737					51232.7849	209.99371	4.768000126	1.470000029
0.593029905	10.20267391	10.20267391	115432.1563	1.480000019	4.782999992	0.500526316	0.805894737					51237.78377	214.99258	4.782999992	1.480000019
0.593087792	10.20257664	10.20257664	115426.8594	1.409999967	4.815999985	0.500526316	0.805894737					51242.78519	219.994	4.815999985	1.409999967
0.593145645	10.20236969	10.20236969	115439.6641	1.480000019	4.84100008	0.500526316	0.805894737					51247.78375	224.99256	4.84100008	1.480000019
0.593203527	10.20251465	10.20251465	115433.4844	1.450000048	4.866000176	0.500526316	0.805894737					51252.78472	229.99353	4.866000176	1.450000048
0.593261395	10.20254326	10.20254326	115436.5781	1.299999952	4.863999844	0.500526316	0.805894737					51257.78453	234.99334	4.863999844	1.299999952
