Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()				
0.66184193	10.20220566	10.20220566	110768.5234	1.809999943	1.812000036	0.500526316	0.805894737				
0.661899789	10.20206547	10.20206547	110777.3438	1.360000014	2.029999971	0.500526316	0.805894737				
0.661957646	10.20223236	10.20223236	110773.1797	1.029999971	1.993000031	0.500526316	0.805894737	Time	Cum Time	Outlet	Inlet
0.662015512	10.20213699	10.20213699	110748.7344	0.810000002	1.815999985	0.500526316	0.805894737	57183.14277			
0.662073395	10.20230293	10.20230293	110755.9688	0.649999976	1.613999963	0.500526316	0.805894737	57188.14178	4.99900896	1.809999943	1.812000036
0.662131248	10.20225334	10.20225334	110767.0625	0.540000022	1.648000002	0.500526316	0.805894737	57193.1406	9.99782784	1.360000014	2.029999971
0.662189119	10.20229435	10.20229435	110751.4766	0.449999988	1.960999966	0.500526316	0.805894737	57198.14026	14.99749344	1.029999971	1.993000031
0.662246999	10.20232964	10.20232964	110765.8438	0.389999986	2.398000002	0.500526316	0.805894737	57203.14135	19.99858464	0.810000002	1.815999985
0.662304869	10.20213223	10.20213223	110739.2031	0.349999994	2.917999983	0.500526316	0.805894737	57208.13985	24.99708384	0.649999976	1.613999963
0.662362738	10.20210457	10.20210457	110747.6406	0.310000002	3.467000008	0.500526316	0.805894737	57213.13989	29.99712096	0.540000022	1.648000002
0.662420619	10.20214653	10.20214653	110741.5703	0.289999992	3.989000082	0.500526316	0.805894737	57218.14071	34.99794432	0.449999988	1.960999966
0.662478437	10.20231247	10.20231247	110730.9766	0.270000011	4.46600008	0.500526316	0.805894737	57223.14069	39.99792096	0.389999986	2.398000002
0.662536307	10.20225143	10.20225143	110742.9766	0.259999991	4.875	0.500526316	0.805894737	57228.14057	44.99780256	0.349999994	2.917999983
0.662594168	10.20219326	10.20219326	110759.0547	0.259999991	5.21600008	0.500526316	0.805894737	57233.14148	49.99871232	0.310000002	3.467000008
0.662652111	10.20221615	10.20221615	110715.1016	0.25	5.50399971	0.500526316	0.805894737	57238.13691	54.99414432	0.289999992	3.989000082
0.662709963	10.20245171	10.20245171	110734.7422	0.25	5.725999832	0.500526316	0.805894737	57243.13696	59.99419008	0.270000011	4.46600008
0.662767852	10.20224953	10.20224953	110736.2656	0.239999995	5.914999962	0.500526316	0.805894737	57248.13607	64.99330272	0.259999991	4.875
0.662825722	10.20217037	10.20217037	110730.2578	0.239999995	6.083000183	0.500526316	0.805894737	57253.14236	69.9995952	0.259999991	5.21600008
0.662883574	10.20207977	10.20207977	110730.8984	0.239999995	6.210999966	0.500526316	0.805894737	57258.1408	74.99803392	0.25	5.50399971
0.662941459	10.20222473	10.20222473	110716.4063	0.259999991	6.289000034	0.500526316	0.805894737	57263.14243	79.9996608	0.25	5.725999832
0.66299937	10.20220184	10.20220184	110725.0625	0.25	6.355000019	0.500526316	0.805894737	57268.14237	84.99960288	0.239999995	5.914999962
0.66305713	10.20225239	10.20225239	110713.4922	0.239999995	6.362999916	0.500526316	0.805894737	57273.14078	89.99800704	0.239999995	6.083000183
0.663115107	10.20223713	10.20223713	110724.8906	0.239999995	6.387000084	0.500526316	0.805894737	57278.14202	94.99925376	0.239999995	6.210999966
0.663172871	10.20224953	10.20224953	110728.1484	0.239999995	6.413000107	0.500526316	0.805894737	57283.14556	100.0027901	0.259999991	6.289000034
0.663230761	10.20232868	10.20232868	110719.6875	0.239999995	6.430999756	0.500526316	0.805894737	57288.13601	104.9932368	0.25	6.355000019
0.663288627	10.20219231	10.20219231	110706.7891	0.239999995	6.433000088	0.500526316	0.805894737	57293.14522	110.0024496	0.239999995	6.362999916
0.663346498	10.20202065	10.20202065	110707.6953	0.230000004	6.436999798	0.500526316	0.805894737	57298.13605	114.9932765	0.239999995	6.387000084
0.663404455	10.20214462	10.20214462	110711.9219	0.230000004	6.462999821	0.500526316	0.805894737	57303.13772	119.9949552	0.239999995	6.413000107
0.663462311	10.20223904	10.20223904	110694.1641	0.230000004	6.463999748	0.500526316	0.805894737	57308.13741	124.9946381	0.239999995	6.430999756
0.663520177	10.20227146	10.20227146	110694.7813	0.230000004	6.445000172	0.500526316	0.805894737	57313.13741	129.9946406	0.239999995	6.433000088
0.663578031	10.20241737	10.20241737	110696.6641	0.239999995	6.477000237	0.500526316	0.805894737	57318.14495	135.0021773	0.230000004	6.436999798
0.663635902	10.20243073	10.20243073	110696.2266	0.230000004	6.526000023	0.500526316	0.805894737	57323.14363	140.0008579	0.230000004	6.462999821
0.663693781	10.20253372	10.20253372	110693.2188	0.230000004	6.552999973	0.500526316	0.805894737	57328.14332	145.0005494	0.230000004	6.463999748
0.663751639	10.20256233	10.20256233	110709.4844	0.239999995	6.59800005	0.500526316	0.805894737	57333.14184	149.9990659	0.230000004	6.445000172
0.663809507	10.20238018	10.20238018	110678.2031	0.239999995	6.638999939	0.500526316	0.805894737	57338.14193	154.9991635	0.239999995	6.477000237
0.663867389	10.20228004	10.20228004	110691.6953	0.289999992	6.625999928	0.500526316	0.805894737	57343.14265	159.9998832	0.230000004	6.526000023
0.663925245	10.20248032	10.20248032	110688.4922	0.270000011	6.680999756	0.500526316	0.805894737	57348.14158	164.9988058	0.230000004	6.552999973
0.663983128	10.20249081	10.20249081	110686.1563	0.259999991	6.697999954	0.500526316	0.805894737	57353.14137	169.998601	0.239999995	6.59800005
0.664041006	10.20241356	10.20241356	110687.2344	0.25	6.686999798	0.500526316	0.805894737	57358.1424	174.9996317	0.239999995	6.638999939
0.664098857	10.20243931	10.20243931	110692.2813	0.25	6.697000027	0.500526316	0.805894737	57363.14119	179.998416	0.289999992	6.625999928
0.664156741	10.20244026	10.20244026	110673.7188	0.25	6.703000069	0.500526316	0.805894737	57368.14222	184.9994467	0.270000011	6.680999756
0.66421462	10.2025795	10.2025795	110665.4219	0.25	6.708000183	0.500526316	0.805894737	57373.14288	190.0001059	0.259999991	6.697999954
0.664272488	10.20244408	10.20244408	110657.3359	0.25	6.745999813	0.500526316	0.805894737	57378.14128	194.9985101	0.25	6.686999798
0.664330355	10.20233536	10.20233536	110675.6328	0.259999991	6.768000126	0.500526316	0.805894737	57383.14243	199.9996618	0.25	6.697000027
0.664388213	10.20242882	10.20242882	110656.1641	0.259999991	6.715000153	0.500526316	0.805894737	57388.14314	205.0003728	0.25	6.703000069
0.664446089	10.20244122	10.20244122	110654.5234	0.270000011	6.730000019	0.500526316	0.805894737	57393.14293	210.0001594	0.25	6.708000183
0.664503949	10.20255089	10.20255089	110671.9766	0.270000011	6.768000126	0.500526316	0.805894737	57398.14267	214.9999027	0.25	6.745999813
0.66456184	10.20244217	10.20244217	110658.7422	0.280000001	6.745999813	0.500526316	0.805894737	57403.14159	219.9988253	0.259999991	6.768000126
0.664619703	10.20240021	10.20240021	110659.0938	0.280000001	6.75399971	0.500526316	0.805894737	57408.1421	224.999329	0.259999991	6.715000153
