Day fraction since midnight on 	pH probe (pH)	Time from start	Hour Fraction	Hour Fraction/Residence time	Expected ANC	ANC closed system	alpha0	alpha1	2*alpha2	ANC open system
0.635899616	6.446812153	0	0	0	0.00005	0.002599514	0.416249777	1.402207072	8.18424E-05	3.33612E-05
0.635911183	6.416762829	1.16E-05	6.94E-04	3.12E-03	5.29529E-05	0.002425679	0.433155756	1.308467166	7.416E-05	2.98543E-05
0.63592275	6.389653206	2.31E-05	1.39E-03	6.25E-03	5.58772E-05	0.00227884	0.448543558	1.229286765	6.77815E-05	2.7026E-05
0.635934317	6.357402802	3.47E-05	2.08E-03	9.37E-03	5.87731E-05	0.002115681	0.466975907	1.141307844	6.08275E-05	2.40266E-05
0.635945884	6.265830994	4.63E-05	2.78E-03	1.25E-02	6.16409E-05	0.001713282	0.519636049	0.924338397	4.43978E-05	1.72661E-05
0.635957474	6.237020016	5.79E-05	3.47E-03	1.56E-02	6.44864E-05	0.001603237	0.53616928	0.865007785	4.01182E-05	1.55725E-05
0.635969041	6.14804697	6.94E-05	4.17E-03	1.87E-02	6.72985E-05	0.001305999	0.586572548	0.704769287	2.9135E-05	1.1319E-05
0.635980608	6.047205448	8.10E-05	4.86E-03	2.19E-02	7.0083E-05	0.001035045	0.641533247	0.558734448	2.00277E-05	7.82413E-06
0.635992187	6.02667284	9.26E-05	5.55E-03	2.50E-02	7.28431E-05	0.000987163	0.652332027	0.532933278	1.85274E-05	7.24043E-06
0.636003777	5.990143299	1.04E-04	6.25E-03	2.81E-02	7.55785E-05	0.000907366	0.67115695	0.489940453	1.61106E-05	6.28724E-06
0.636015344	5.934697151	1.16E-04	6.94E-03	3.12E-02	7.82816E-05	0.000798349	0.698696369	0.431218268	1.29922E-05	5.01847E-06
0.636026911	5.934797287	1.27E-04	7.64E-03	3.44E-02	8.09579E-05	0.000798534	0.698647825	0.431317706	1.29973E-05	5.02059E-06
0.636038478	5.821619034	1.39E-04	8.33E-03	3.75E-02	8.36077E-05	0.000614724	0.750537244	0.33236787	8.29106E-06	2.92732E-06
0.636050068	5.70819521	1.50E-04	9.03E-03	4.06E-02	8.62363E-05	0.000472632	0.796190913	0.25597362	5.21684E-06	1.26225E-06
0.636061635	5.701767445	1.62E-04	9.72E-03	4.37E-02	8.88336E-05	0.00046563	0.798582135	0.252212987	5.07989E-06	1.17626E-06
0.636073202	5.87298727	1.74E-04	1.04E-02	4.69E-02	9.14049E-05	0.000692267	0.72774186	0.374099623	1.01848E-05	3.80858E-06
0.63608478	5.872994423	1.85E-04	1.11E-02	5.00E-02	9.39529E-05	0.000692279	0.727738597	0.374105784	1.01851E-05	3.80871E-06
0.636096347	5.710842609	1.97E-04	1.18E-02	5.31E-02	9.64729E-05	0.000475546	0.79519992	0.257538765	5.27426E-06	1.29787E-06
0.636107937	5.698158741	2.08E-04	1.25E-02	5.63E-02	9.89724E-05	0.000461744	0.799915401	0.250125944	5.00451E-06	1.12828E-06
0.636119504	5.405093193	2.20E-04	1.32E-02	5.94E-02	0.000101442	0.000232229	0.887012946	0.127377638	1.43918E-06	-2.49605E-06
0.636131071	5.056145191	2.31E-04	1.39E-02	6.25E-02	0.000103886	9.69582E-05	0.946041737	0.057035492	3.07752E-07	-8.18326E-06
0.636142661	4.941740036	2.43E-04	1.46E-02	6.56E-02	0.00010631	6.98205E-05	0.958013139	0.043826828	1.84014E-07	-1.09773E-05
0.636154228	4.79070425	2.55E-04	1.53E-02	6.88E-02	0.000108705	4.1196E-05	0.969976132	0.030953107	9.29329E-08	-1.58721E-05
0.636165795	4.672626495	2.66E-04	1.60E-02	7.19E-02	0.000111076	2.24755E-05	0.976958869	0.02358449	5.43412E-08	-2.10088E-05
