Day fraction since midnight on 	pH probe (pH)
0.635818578	6.366726875
0.635830145	6.364315033
0.635841747	6.353938103
0.635853291	6.506598473
0.635864881	6.399871826
0.635876448	6.439615727
0.635888015	6.43735075
start part 2	
0.635899616	6.446812153
0.635911183	6.416762829
0.63592275	6.389653206
0.635934317	6.357402802
0.635945884	6.265830994
0.635957474	6.237020016
0.635969041	6.14804697
0.635980608	6.047205448
0.635992187	6.02667284
0.636003777	5.990143299
0.636015344	5.934697151
0.636026911	5.934797287
0.636038478	5.821619034
0.636050068	5.70819521
0.636061635	5.701767445
0.636073202	5.87298727
0.63608478	5.872994423
0.636096347	5.710842609
0.636107937	5.698158741
0.636119504	5.405093193
0.636131071	5.056145191
0.636142661	4.941740036
0.636154228	4.79070425
0.636165795	4.672626495
0.636177374	4.767210484
0.636188941	4.785263062
0.636200531	4.99340725
0.636212098	5.115039825
0.636223665	4.875723362
0.636235255	4.92440033
0.636246822	5.223372936
0.636258389	5.076862812
0.636269991	5.131869316
0.636281535	5.072834492
0.636293125	4.933562279
0.636304692	4.655717373
0.636316259	4.613082886
0.636327849	4.419796467
0.636339416	4.208739281
0.636350983	4.214269161
0.636362561	4.167461872
0.636374128	4.052782536
0.636385718	4.077774525
0.636397285	4.258909226
0.636408852	4.427268505
0.636420442	4.463803291
0.636432009	4.391799927
0.636443576	4.382058621
0.636455166	4.425959587
0.636466733	4.418610573
0.6364783	4.402564526
0.63648989	4.352895737
0.636501446	4.337687016
0.636513036	4.340342522
0.636524603	4.31826973
0.63653617	4.288570881
0.63654776	4.293591499
0.636559327	4.290618897
0.636570894	4.262849808
0.636582484	4.254962444
0.636594039	4.224581718
0.63660563	4.196275711
0.636617196	4.164534569
0.636628787	4.160745621
0.636640354	4.182080746
0.636651921	4.198287964
0.636663488	4.216713429
0.636675078	4.234490871
0.636686633	4.224456787
0.636698223	4.227687836
0.63670979	4.221560478
0.636721357	4.177500725
0.636732947	4.179680347
0.636744514	4.178018093
0.636756081	4.17493391
0.636767671	4.177327156
0.636779227	4.160757065
0.636790817	4.141709805
0.636802384	4.143213749
0.636813951	4.107121944
0.636825541	4.108720779
0.636837108	4.113259316
0.636848675	4.113720894
0.636860242	4.095998764
0.63687182	4.0758214
0.63688341	4.080221653
0.636894977	4.085225582
0.636906544	4.071764469
0.636918134	4.071943283
0.636929701	4.083053589
0.636941268	4.086877346
0.636952835	4.086611271
0.636964437	4.070509434
0.636975992	4.078336239
0.636987559	4.044268608
0.636999149	4.009032726
0.637010728	4.037761211
0.637022295	4.056161404
0.637033862	4.050105095
0.63704544	4.019674778
0.637057007	4.029293537
0.637068598	4.041294575
0.637080165	4.044857979
0.637091732	4.034729004
0.637103298	4.020907879
0.637114889	4.012778759
0.637126456	4.012046814
0.637138023	4.006956577
0.637149601	4.011925697
0.637161191	4.000644207
0.637172758	3.964730263
0.637184325	3.961159706
0.637195892	3.995072842
0.637207482	4.017602921
0.637219049	4.027270794
0.637230616	4.015508652
0.637242195	4.000289917
0.637253785	4.008228779
0.637265352	3.975481033
0.637276919	3.983195782
0.637288486	3.991666794
0.637300076	3.983828783
0.637311643	3.976799727
0.63732321	3.977185249
0.637334788	3.95477438
0.637346378	3.947499991
0.637357945	3.953254461
0.637369512	3.955672503
0.637381079	3.960049629
0.637392669	3.972407341
0.637404236	3.970097303
0.637415803	3.965683937
0.637427382	3.951540232
0.637438949	3.941901207
0.637450539	3.943673849
0.637462106	3.929779291
0.637473696	3.939533711
0.637485263	3.953021526
0.63749683	3.94982338
0.637508397	3.947356224
0.637519976	3.936035395
