Fraction of day from midnight	pH probe (pH)	Time from start	Hour Fraction	Hour Fraction/Residence time	Expected ANC	ANC closed system	alpha0	alpha1	2*alpha2	ANC open system
0.608005645	7.914949894	0	0	0	0.00005	0.076402304	0.023598941	41.20499768	0.004006751	0.017464734
0.608017216	8.006445885	1.16E-05	6.94E-04	3.12E-03	5.29539E-05	0.094319746	0.019183953	50.86814318	0.004963978	0.026522166
0.608028797	7.947925568	2.32E-05	1.39E-03	6.25E-03	5.58817E-05	0.082429412	0.0219043	44.45550704	0.00432893	0.020300162
0.608040364	8.018240929	3.47E-05	2.08E-03	9.38E-03	5.87776E-05	0.096916492	0.018676993	52.26860737	0.005102568	0.027992055
0.608051933	7.955364227	4.63E-05	2.78E-03	1.25E-02	6.16459E-05	0.083853438	0.021538716	45.22350585	0.004405024	0.021001361
0.608063504	8.019760132	5.79E-05	3.47E-03	1.56E-02	6.44867E-05	0.097256109	0.018612655	52.45176805	0.005120691	0.028187241
0.608075078	7.957479954	6.94E-05	4.17E-03	1.87E-02	6.73004E-05	0.084262939	0.021435825	45.44435607	0.004426904	0.021205216
0.608086654	8.030428886	8.10E-05	4.86E-03	2.19E-02	7.00871E-05	0.099674866	0.018166884	53.75624022	0.005249745	0.02959708
0.608098228	7.974302769	9.26E-05	5.55E-03	2.50E-02	7.28459E-05	0.087590993	0.020634562	47.23922554	0.004604694	0.022898648
0.608109795	8.021292687	1.04E-04	6.25E-03	2.81E-02	7.55759E-05	0.097599917	0.01854797	52.63718882	0.005139037	0.028385531
0.608121371	7.984574318	1.16E-04	6.94E-03	3.12E-02	7.82811E-05	0.089687314	0.020159759	48.36980293	0.004716654	0.023998878
0.608132962	8.015816689	1.27E-04	7.64E-03	3.44E-02	8.0963E-05	0.096377008	0.01878011	51.97765582	0.005073779	0.027683401
0.60814454	7.967956066	1.39E-04	8.33E-03	3.75E-02	8.36152E-05	0.086320259	0.020933366	46.55389964	0.004536816	0.022244342
0.608156107	7.986626625	1.50E-04	9.03E-03	4.06E-02	8.62386E-05	0.090112145	0.020066176	48.59892076	0.00473934	0.024225007
0.608167687	7.966842175	1.62E-04	9.72E-03	4.38E-02	8.88387E-05	0.086099146	0.020986241	46.43464985	0.004525004	0.022131463
0.608179254	7.982887745	1.74E-04	1.04E-02	4.69E-02	9.141E-05	0.08933969	0.020236984	48.18232415	0.004698089	0.023814638
0.608190827	7.951987267	1.85E-04	1.11E-02	5.00E-02	9.39568E-05	0.083203943	0.02170394	44.87322334	0.004370319	0.020680062
0.608202403	7.955431461	1.97E-04	1.18E-02	5.31E-02	9.64787E-05	0.083866421	0.021535439	45.23050753	0.004405718	0.021007809
0.608213969	7.936604977	2.08E-04	1.25E-02	5.63E-02	9.8973E-05	0.080308513	0.022472281	43.31167474	0.004215578	0.019277981
0.608225557	7.92794323	2.20E-04	1.32E-02	5.94E-02	0.000101447	0.078722671	0.022916511	42.45640623	0.004130807	0.018530998
0.608237133	7.93025589	2.31E-04	1.39E-02	6.25E-02	0.000103893	0.079142996	0.022797074	42.68309371	0.004153277	0.018727541
0.608248686	7.904266357	2.43E-04	1.46E-02	6.56E-02	0.00010631	0.074545751	0.024174814	40.20373086	0.003907472	0.016634442
0.608260276	7.911402226	2.55E-04	1.53E-02	6.88E-02	0.000108709	0.075780729	0.023788677	40.86977304	0.003973514	0.017184491
0.608271844	7.88745594	2.66E-04	1.60E-02	7.19E-02	0.00011108	0.071715402	0.025108674	38.67728138	0.003756087	0.015407703
0.60828344	7.907180309	2.78E-04	1.67E-02	7.50E-02	0.000113432	0.075047608	0.024016404	40.47438971	0.00393431	0.016856882
0.608294995	7.878352642	2.89E-04	1.74E-02	7.81E-02	0.000115751	0.070227809	0.0256289	37.87500004	0.003676506	0.01478185
0.608306558	7.905039311	3.01E-04	1.81E-02	8.13E-02	0.000118049	0.074678546	0.024132696	40.27534887	0.003914574	0.016693157
0.608318131	7.87091589	3.12E-04	1.87E-02	8.44E-02	0.000120324	0.06903548	0.026061633	37.2319592	0.003612713	0.014289621
0.608329725	7.906043053	3.24E-04	1.94E-02	8.75E-02	0.00012258	0.074851343	0.024078108	40.36854096	0.003923814	0.016769714
0.608341284	7.84223938	3.36E-04	2.01E-02	9.06E-02	0.000124806	0.064624286	0.027797537	34.8529369	0.003376643	0.012541249
0.608352855	7.880182743	3.47E-04	2.08E-02	9.38E-02	0.000127011	0.070524371	0.025523483	38.03494066	0.003692372	0.014905579
0.608364434	7.822394848	3.59E-04	2.15E-02	9.69E-02	0.000129194	0.061737803	0.029063788	33.29621353	0.003222121	0.011459121
0.608376005	7.859036923	3.70E-04	2.22E-02	1.00E-01	0.000131353	0.067172784	0.026767583	36.2273797	0.003513039	0.013537384
0.60838758	7.80670166	3.82E-04	2.29E-02	1.03E-01	0.000133491	0.059546732	0.030104459	32.11453662	0.003104804	0.010670389
0.60839917	7.856173039	3.94E-04	2.36E-02	1.06E-01	0.000135608	0.06673128	0.026940531	35.98927012	0.003489412	0.013362077
0.608410737	7.763500214	4.05E-04	2.43E-02	1.09E-01	0.000137699	0.053908388	0.033158454	29.07369392	0.002802817	0.008770363
0.608422304	7.813109875	4.17E-04	2.50E-02	1.13E-01	0.000139767	0.060431889	0.02967523	32.5919147	0.003152201	0.010985628
0.608433886	7.764097214	4.28E-04	2.57E-02	1.16E-01	0.000141816	0.053982544	0.033114285	29.11368736	0.002806789	0.008794141
0.608445449	7.791781426	4.40E-04	2.64E-02	1.19E-01	0.00014384	0.057535733	0.031127183	31.02997502	0.00299711	0.009971299
0.608457027	7.727935314	4.51E-04	2.71E-02	1.22E-01	0.000145845	0.049669674	0.035894462	26.78769306	0.002575717	0.007464855
0.608468594	7.774279594	4.63E-04	2.78E-02	1.25E-01	0.000147826	0.055263166	0.032369608	29.80434583	0.002875389	0.009209863
0.60848017	7.947324753	4.75E-04	2.85E-02	1.28E-01	0.000149788	0.082315455	0.02193409	44.39404859	0.00432284	0.020244565
0.608491742	7.796029568	4.86E-04	2.92E-02	1.31E-01	0.000151728	0.058101294	0.030832624	31.33499055	0.003027399	0.010165506
0.608503332	7.681764126	4.98E-04	2.99E-02	1.34E-01	0.000153649	0.044660124	0.039770947	24.08596916	0.002307248	0.006057792
0.608514899	7.647600174	5.09E-04	3.06E-02	1.38E-01	0.000155546	0.041281533	0.042893762	22.26384522	0.002126153	0.005191875
0.608526472	7.650022507	5.21E-04	3.12E-02	1.41E-01	0.000157424	0.04151243	0.042664854	22.38837162	0.00213853	0.005248924
0.608538041	7.678267002	5.32E-04	3.19E-02	1.44E-01	0.00015928	0.044301944	0.040080347	23.89279748	0.00228805	0.005962823
0.608549618	7.641285896	5.44E-04	3.26E-02	1.47E-01	0.000161116	0.040685673	0.043495968	21.94248934	0.002094213	0.005046096
0.608561208	7.654950142	5.56E-04	3.33E-02	1.50E-01	0.000162935	0.041986127	0.042202787	22.64384336	0.002163921	0.005366941
0.608572775	7.618035317	5.67E-04	3.40E-02	1.53E-01	0.00016473	0.038564775	0.045783528	20.79865816	0.001980523	0.004544082
0.608584334	7.625676632	5.79E-04	3.47E-02	1.56E-01	0.000166504	0.039249322	0.045019388	21.16784428	0.002017218	0.004703234
0.608595909	7.612841129	5.90E-04	3.54E-02	1.59E-01	0.00016826	0.038106283	0.046309969	20.5513866	0.001955946	0.004439019
0.608607491	7.589967728	6.02E-04	3.61E-02	1.63E-01	0.000169998	0.036151228	0.048697321	19.49699714	0.001851145	0.004004834
0.608619058	7.614430428	6.13E-04	3.68E-02	1.66E-01	0.000171714	0.038245989	0.046148284	20.6267321	0.001963434	0.004470902
0.608630637	7.632722855	6.25E-04	3.75E-02	1.69E-01	0.000173412	0.039891321	0.044325515	21.51408375	0.002051632	0.004854988
0.608642214	7.613224983	6.37E-04	3.82E-02	1.72E-01	0.000175091	0.038139978	0.046270869	20.56955911	0.001957752	0.004446699
0.608653789	7.580834866	6.48E-04	3.89E-02	1.75E-01	0.00017675	0.03539893	0.049682727	19.09127203	0.001810819	0.003843721
0.608665383	7.607524872	6.60E-04	3.96E-02	1.78E-01	0.000178394	0.037642659	0.04685473	20.30134782	0.001931093	0.004334032
0.608676945	7.578275204	6.71E-04	4.03E-02	1.81E-01	0.000180014	0.035190907	0.049962272	18.97908208	0.001799669	0.003799755
0.608688514	7.568521977	6.83E-04	4.10E-02	1.84E-01	0.000181616	0.034409406	0.051041122	18.55760716	0.001757779	0.003636847
0.608700082	8.741394997	6.94E-04	4.17E-02	1.88E-01	0.0001832	0.512332032	0.003509466	276.3089783	0.026793597	0.787483075
0.608711657	8.129231453	7.06E-04	4.24E-02	1.91E-01	0.000184766	0.12513775	0.014504476	67.48876066	0.006606401	0.046540058
0.608723236	7.781557083	7.18E-04	4.31E-02	1.94E-01	0.000186315	0.056197019	0.031847292	30.30798635	0.00292541	0.009519086
