Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)	Source pressure (Pa)
0.637518544	0.154186398	3.555887699	106593.0859
0.637576449	0.154107556	3.555929899	106584.7891
0.637634296	0.154120475	3.555922985	106588.9688
0.637692252	0.154167682	3.555897713	106576.5234
0.63775012	0.15424341	3.555857182	106561.9531
0.637807931	0.154207334	3.555876494	106569.0391
start			
0.637865848	0.154205114	3.555877686	106571.2813
0.637923659	0.154249653	3.555853844	106581.4766
0.637981577	12.78041744	-0.095507734	106560.0078
0.63803938	24.69805908	-0.980833054	106576.2266
0.638097304	25.72373581	-1.015676856	106556.625
0.638155203	23.30790329	-0.926868737	106541.1094
0.638213096	12.21385479	-0.017544022	106535.0313
0.638270902	17.36635399	-0.575753212	106545.5781
0.638328846	21.27959442	-0.831730902	106558.1406
0.638386669	20.58771706	-0.794107258	106536.4531
0.63844452	22.09558678	-0.872574389	106511.5
0.638502441	23.21110344	-0.922794581	106536.3984
0.638560324	23.15478516	-0.920404255	106525.6016
0.638618154	23.27308655	-0.925408363	106535.5703
0.63867606	22.565588	-0.8944875	106538.1563
0.638733839	22.85006142	-0.90721035	106517.6641
0.638791757	23.5560627	-0.9371171	106509.4063
0.638849594	23.25670433	-0.924719274	106500.8984
0.638907466	23.13637733	-0.91961968	106516.5078
0.63896532	23.1620388	-0.920712888	106504.4219
0.639023209	23.0109787	-0.91423285	106504.6406
0.639081068	22.80117226	-0.905052126	106499.1719
0.639138917	22.31087112	-0.882752478	106502.8594
0.639196873	21.78274536	-0.857347488	106479.6797
0.639254659	21.34346008	-0.83506155	106477.9219
0.639312583	20.97342682	-0.815434635	106473.8125
0.63937045	21.00337219	-0.817052841	106473.2031
0.639428278	21.45784378	-0.840968669	106469.2734
0.639486166	21.89088249	-0.862670183	106462.9766
0.639544047	21.28429985	-0.831977069	106456.9219
0.639601885	20.83811569	-0.80805558	106453.6797
0.63965975	20.80762672	-0.806377769	106457.4922
0.639717664	20.39603806	-0.783167064	106457.1797
0.63977551	20.22104645	-0.772975683	106474.3203
0.639833382	20.13955498	-0.76816231	106454.2266
0.639891231	19.82690811	-0.749289751	106464.7422
0.639949117	18.98304558	-0.694986939	106451.3281
0.640007027	18.20604324	-0.640324891	106438.5078
0.640064954	17.60882759	-0.595016062	106438.5078
0.640122758	17.1711235	-0.559865654	106429.3438
0.640180665	17.29465485	-0.569958031	106426.9219
