Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)	Source pressure (Pa)
0.615002866	0.157678515	3.554018974	104142.75
0.615014541	0.15773645	3.55398798	104142.75
0.615026113	0.157837153	3.553934097	104142.75
0.615037586	0.157746688	3.553982496	104142.75
0.615049281	0.157709703	3.554002285	104142.75
0.615060806	0.157744467	3.553983688	104142.75
0.615072363	0.157760948	3.553974867	104142.75
0.61508395	0.157808185	3.553949595	104142.75
0.615095508	0.157923162	3.553888083	104142.75
0.615107098	0.157748923	3.553981304	104142.75
0.615118661	0.157700792	3.554007053	104142.75
0.615130233	0.157715946	3.553998947	104142.75
0.615141808	0.157747582	3.553982019	104142.75
0.615153398	0.157779664	3.553964853	104142.75
0.615164962	0.157679409	3.554018498	104142.75
0.615176549	0.157719061	3.553997278	104142.75
0.615188145	0.15770258	3.5540061	104142.75
0.615199707	0.157667816	3.554024696	104142.75
0.615211288	0.157612115	3.554054499	104142.75
0.615222859	0.157651782	3.554033279	104142.75
0.615234466	0.15770793	3.554003239	104142.75
0.615246021	0.157680288	3.554018021	104142.75
0.615257604	0.157650888	3.554033756	104142.75
0.615269177	0.157677621	3.554019451	104142.75
0.615280744	0.157667816	3.554024696	104142.75
0.61529227	0.157705247	3.554004669	104142.75
0.615303836	0.157760069	3.553975344	104142.75
0.615315428	0.15765667	3.554030657	104142.75
0.615326993	0.157720402	3.553996563	104142.75
0.615338569	0.157726646	3.553993225	104142.75
0.615350141	0.157610774	3.554055214	104142.75
0.615361726	0.157648653	3.554034948	104142.75
0.615373285	0.157584935	3.554069042	104142.75
0.615384864	0.157586709	3.554068089	104142.75
0.615396435	0.157654896	3.554031611	104142.75
0.615408071	0.157639742	3.554039717	104142.75
0.615419535	0.157531455	3.554097652	104142.75
0.615431227	0.157681629	3.554017305	104142.75
0.615442792	0.157723069	3.553995132	104142.75
0.615454361	0.157633498	3.554043055	104142.75
0.615465953	0.157720849	3.553996325	104142.75
0.615477523	0.157761395	3.553974628	104142.75
0.615489082	0.15773645	3.55398798	104142.75
0.615500542	0.157767639	3.553971291	104142.75
0.615512249	0.157700792	3.554007053	104142.75
0.615523768	0.157642856	3.554038048	104142.75
0.615535342	0.157656238	3.554030895	104142.75
0.615546912	0.157694116	3.55401063	104142.75
0.615558494	0.157764524	3.55397296	104142.75
0.61557006	0.157652661	3.554032803	104142.75
0.61558161	0.15767093	3.554023027	104142.75
0.615593181	0.157654002	3.554032087	104142.75
0.615604751	0.157736883	3.553987742	104142.75
0.615616328	0.157637075	3.554041147	104142.75
0.615627907	0.157699451	3.554007769	104142.75
0.615639515	0.157648206	3.554035187	104142.75
0.61565107	0.157657117	3.554030418	104142.75
0.615662661	0.157650888	3.554033756	104142.75
0.615674231	0.157743573	3.553984165	104142.75
0.61568581	0.157688767	3.554013491	104142.75
0.615697383	0.15771015	3.554002047	104142.75
0.615708946	0.157751143	3.553980112	104142.75
